1085;24826;-8191;0
0;3376;-3664;15600;0
0;3500;-3664;15592;0
0;3388;-3564;15676;0
0;3336;-3524;15724;0
0;3376;-3616;15684;0
0;3500;-3656;15624;0
0;3436;-3708;15720;0
0;3480;-3640;15748;0
0;3492;-3560;15784;0
0;3436;-3588;15724;0
0;3436;-3588;15724;0
0;3412;-3604;15664;0
0;3468;-3572;15572;0
0;3452;-3648;15632;0
0;3528;-3652;15836;0
0;3540;-3548;15824;0
0;3604;-3460;15764;0
0;3552;-3492;15692;0
0;3624;-3572;15564;0
0;3580;-3616;15656;0
0;3580;-3616;15656;0
0;3632;-3628;15800;0
0;3632;-3652;15712;0
0;3648;-3628;15624;0
0;3608;-3596;15616;0
0;3512;-3572;15712;0
0;3536;-3620;15764;0
0;3456;-3660;15720;0
0;341726446008;3544;-3624;15568;0
0;3552;-3724;15528;0
0;3544;-3696;15612;0
0;3492;-3736;15580;0
0;3476;-3708;15516;0
0;3532;-3648;15556;0
0;3440;-3668;15552;0
0;3456;-3808;15636;0
0;3456;-3808;15636;0
0;3464;-3636;15628;0
0;3372;-3660;15520;0
0;3468;-3552;15496;0
0;3348;-3628;15612;0
0;3436;-3628;15668;0
0;3384;-3660;15716;0
0;3248;-3672;15792;0
0;3344;-3668;15564;0
0;3268;-3640;15500;0
0;3268;-3640;15500;0
0;3268;-3640;15500;0
0;3268;-3640;15500;0
0;3332;-3676;15768;0
0;3376;-3740;15820;0
0;3432;-3752;15864;0
0;3436;-3756;15916;0
0;3396;-3716;15888;0
0;3408;-3684;15844;0
0;3400;-3704;16016;0
0;3468;-3744;15936;0
0;3468;-3744;15936;0
0;3500;-3724;15960;0
0;3484;-3780;15928;0
0;3636;-3856;15828;0
0;3652;-3744;15864;0
0;3584;-3688;15812;0
0;3552;-3800;15924;0
0;3536;-3748;15908;0
0;3568;-3740;15844;0
0;3556;-3768;16000;0
0;3556;-3768;16000;0
0;3632;-3736;16008;0
0;3640;-3784;16020;0
0;3704;-3732;15948;0
0;3536;-3692;15808;0
0;3572;-3740;15776;0
0;3588;-3664;15848;0
0;3492;-3760;15820;0
0;3568;-3708;15728;0
0;3600;-3592;15696;0
0;3600;-3592;15696;0
0;3668;-3676;15668;0
0;3676;-3640;15636;0
0;3620;-3692;15804;0
0;3544;-3648;15884;0
0;3548;-3548;15740;0
0;3596;-3708;15544;0
0;3576;-3728;15584;0
0;3636;-3640;15560;0
0;3548;-3636;15600;0
0;3548;-3636;15600;0
0;3520;-3588;15584;0
0;3500;-3636;15712;0
0;3516;-3560;15648;0
0;3624;-3556;15812;0
0;3564;-3668;15692;0
0;3512;-3692;15528;0
0;3496;-3668;15524;0
0;3520;-3644;15608;0
0;3484;-3632;15584;0
0;3484;-3632;15584;0
0;3532;-3612;15552;0
0;3520;-3644;15456;0
0;3556;-3724;15596;0
0;3464;-3692;15708;0
0;3424;-3704;15600;0
0;3536;-3692;15544;0
0;3460;-3700;15616;0
0;3500;-3740;15596;0
0;3488;-3632;15524;0
0;3488;-3632;15524;0
0;3524;-3712;15336;0
0;3456;-3812;15624;0
0;3484;-3772;15568;0
0;3616;-3736;15564;0
0;3504;-3796;15548;0
0;3528;-3768;15480;0
0;3588;-3748;15448;0
0;3552;-3700;15404;0
0;3480;-3676;15364;0
0;3480;-3676;15364;0
0;3532;-3752;15388;0
0;3560;-3784;15404;0
0;3588;-3732;15472;0
0;3580;-3720;15484;0
0;3576;-3720;15344;0
0;3568;-3752;15440;0
0;3564;-3788;15572;0
0;3548;-3776;15428;0
0;3508;-3676;15348;0
0;3508;-3676;15348;0
0;3412;-3616;15416;0
0;3512;-3600;15464;0
0;3348;-3600;15480;0
0;3492;-3640;15412;0
0;3440;-3652;15424;0
0;3512;-3600;15528;0
0;3424;-3596;15392;0
0;3444;-3588;15472;0
0;3368;-3604;15460;0
0;3368;-3604;15460;0
0;3380;-3596;15368;0
0;3408;-3620;15372;0
0;3452;-3604;15396;0
0;3452;-3508;15496;0
0;3472;-3540;15536;0
0;3312;-3612;15596;0
0;3376;-3588;15548;0
0;3336;-3616;15568;0
0;3432;-3608;15560;0
0;3432;-3608;15560;0
0;3412;-3588;15584;0
0;3424;-3648;15608;0
0;3456;-3624;15664;0
0;3456;-3508;15824;0
0;3432;-3492;15784;0
0;3388;-3568;15656;0
0;3304;-3596;15716;0
0;3356;-3528;15740;0
0;3436;-3556;15780;0
0;3436;-3556;15780;0
0;3436;-3480;15776;0
0;3304;-3500;15732;0
0;3324;-3544;15792;0
0;3348;-3556;15792;0
0;3440;-3560;15864;0
0;3376;-3572;15868;0
0;3300;-3548;15892;0
0;3372;-3548;15884;0
0;3352;-3604;15836;0
0;3352;-3604;15836;0
0;3460;-3496;15900;0
0;3452;-3472;16064;0
0;3352;-3536;15964;0
0;3444;-3516;15896;0
0;3340;-3456;15900;0
0;3344;-3428;16036;0
0;3420;-3452;15992;0
0;3412;-3552;16108;0
0;3480;-3444;16028;0
0;3456;-3464;16088;0
0;3456;-3464;16088;0
0;3520;-3480;16080;0
0;3480;-3504;15988;0
0;3544;-3452;16040;0
0;3464;-3364;15896;0
0;3492;-3404;15912;0
0;3468;-3496;15908;0
0;3460;-3464;15868;0
0;3452;-3484;16096;0
0;3440;-3472;16108;0
0;3440;-3472;16108;0
0;3448;-3476;15968;0
0;3384;-3428;15868;0
0;3480;-3424;15784;0
0;3488;-3460;15904;0
0;3388;-3428;15888;0
0;3456;-3508;15800;0
0;3428;-3556;15796;0
0;3496;-3544;15988;0
0;3388;-3596;15880;0
0;3388;-3596;15880;0
0;3352;-3556;15748;0
0;3372;-3584;15592;0
0;3384;-3512;15628;0
0;3512;-3668;15648;0
0;3404;-3676;15580;0
0;3396;-3740;15564;0
0;3428;-3644;15752;0
0;3416;-3688;15728;0
0;3452;-3680;15660;0
0;3452;-3680;15660;0
0;3348;-3740;15660;0
0;3484;-3692;15668;0
0;3384;-3664;15668;0
0;3416;-3728;15648;0
0;3428;-3768;15604;0
0;3432;-3812;15560;0
0;3392;-3812;15520;0
0;3364;-3772;15572;0
0;3380;-3792;15612;0
0;3380;-3792;15612;0
0;3448;-3792;15684;0
0;3400;-3912;15652;0
0;3520;-3820;15528;0
0;3352;-3788;15504;0
0;3452;-3864;15548;0
0;3396;-3816;15688;0
0;3372;-3836;15708;0
0;3368;-3872;15632;0
0;3400;-3932;15464;0
0;3400;-3932;15464;0
0;3360;-3896;15556;0
0;3336;-3904;15628;0
0;3380;-3876;15532;0
0;3408;-3852;15556;0
0;3296;-3928;15624;0
0;3440;-3920;15592;0
0;3468;-3800;15544;0
0;3504;-3912;15576;0
0;3428;-3904;15596;0
0;3428;-3904;15596;0
0;3404;-3892;15580;0
0;3428;-3884;15464;0
0;3452;-3892;15500;0
0;3468;-3844;15452;0
0;3448;-3844;15572;0
0;3392;-3776;15788;0
0;3328;-3840;15708;0
0;3520;-3856;15588;0
0;3380;-3788;15556;0
0;3380;-3788;15556;0
0;3400;-3892;15508;0
0;3520;-3872;15496;0
0;3464;-3828;15556;0
0;3508;-3796;15532;0
0;3432;-3844;15428;0
0;3416;-3800;15612;0
0;3484;-3896;15512;0
0;3468;-3840;15552;0
0;3528;-3716;15644;0
0;3528;-3716;15644;0
0;3476;-3752;15516;0
0;3436;-3740;15448;0
0;3468;-3812;15720;0
0;3500;-3780;15684;0
0;3464;-3804;15616;0
0;3360;-3764;15532;0
0;3416;-3816;15584;0
0;3452;-3740;15648;0
0;3428;-3888;15604;0
0;3428;-3888;15604;0
0;3444;-3792;15656;0
0;3488;-3804;15668;0
0;3404;-3848;15560;0
0;3420;-3876;15624;0
0;3532;-3880;15588;0
0;3408;-3824;15720;0
0;3416;-3760;15652;0
0;3388;-3788;15592;0
0;3448;-3836;15524;0
0;3448;-3836;15524;0
0;3416;-3756;15476;0
0;3384;-3644;15608;0
0;3424;-3640;15740;0
0;3436;-3704;15768;0
0;3492;-3704;15652;0
0;3480;-3696;15728;0
0;3444;-3712;15712;0
0;3476;-3676;15844;0
0;3480;-3712;15728;0
0;3480;-3712;15728;0
0;3464;-3752;15756;0
0;3468;-3692;15812;0
0;3576;-3684;15768;0
0;3620;-3704;15760;0
